通し番号,カテゴリー,商品名,x座標,y座標,画像
128,飲料,飲料(常温),1010,231,inryo
129,飲料,コーヒー,930,214,coffee
130,飲料,缶のお酒(冷),1010,565,kannoosake
131,飲料,缶のお酒(箱),900,795,kannoosake
132,飲料,ビール(冷),1010,762,beer
133,飲料,ビール(箱),930,785,beer
134,飲料,梅酒,930,502,umesyu
135,飲料,日本酒,930,628,nihonsyu
136,飲料,焼酎,900,540,syouchu
137,飲料,ウイスキー,815,535,whisky
138,飲料,ワイン,815,715,wine
139,その他,箱売りセール品,1325,950,sale
140,その他,セール品,1350,875,sale
141,その他,お土産,380,920,omiyage
142,その他,花,-5,975,ohana
